Query,relevant_count,P@10,R@10,AP,MAP
cocoa prices,15.0,1.0,0.6666666666666666,1.0,0.8482410556815319
oil market,33.0,0.9,0.2727272727272727,0.8412257495590829,0.8482410556815319
company earnings,167.0,0.8,0.04790419161676647,0.6427579365079366,0.8482410556815319
acquisition deal,81.0,1.0,0.12345679012345678,1.0,0.8482410556815319
trade balance,30.0,0.7,0.23333333333333334,0.8444444444444443,0.8482410556815319
foreign exchange,0.0,0.0,0.0,0.0,0.8482410556815319
grain crop,23.0,0.6,0.2608695652173913,0.6092592592592593,0.8482410556815319
interest rates,30.0,0.1,0.03333333333333333,1.0,0.8482410556815319
